gpa.php|GPA Calculator|Handout|xx
http://www.sjsu.edu/polisci/|Political Science Department|Department|x
http://www.sjsu.edu/president/|Office of the President|Contact|x
http://www.sjsu.edu/provost/|Office of the Provost|Contact|x
http://www.sjsu.edu/provost/honors_convocation/|Honors Convocation|Policy|x
http://www.sjsu.edu/psych/|Psychology Department|Department|x
http://www.sjsu.edu/publicaffairs/|Public Affairs|Program|x
http://www.sjsu.edu/registrar/|Registrar's Office|Service|x
http://www.sjsu.edu/registrar/calendar/|Dates and Deadlines|Date|x
http://www.sjsu.edu/registrar/calendar/2122/index.htm|Add Deadline|Date|x
http://www.sjsu.edu/registrar/docs/grad_app.pdf|Graduation Application|Form|x
http://www.sjsu.edu/registrar/docs/grad_change.pdf|Graduation Date Change Form|Form|x
http://www.sjsu.edu/registrar/docs/incomplete_ext.pdf|Incomplete (I) Extension Request|Form|x
http://www.sjsu.edu/registrar/docs/Late_Enroll_Req.pdf|Late Add Petition|Form|x
http://www.sjsu.edu/registrar/docs/leave_request.pdf|Leave of Absence and Withdrawal Request|Form|x
http://www.sjsu.edu/registrar/docs/major_minor.pdf|Change of Major Form|Form|x
http://www.sjsu.edu/registrar/docs/Reinstatement_Petition.pdf|Reinstatement Petition|Form|x
http://www.sjsu.edu/registrar/docs/visitor.pdf|Visitor Program Application|Form|x
http://www.sjsu.edu/registrar/forms/index.htm|Forms and Petitions|Form|x
http://www.sjsu.edu/registrar/services/GPA_Verification/|GPA Verification|Service|x
http://www.sjsu.edu/registrar/services/Residency/|Residency Information|Policy|x
http://www.sjsu.edu/registrar/services/students/ab540.html|AB 540: Undocumented Students|Policy|x
http://www.sjsu.edu/registrar/services/students/unit_load.htm|Enrollment Status|Service|x
http://www.sjsu.edu/registrar/services/transcripts/|Transcript Information|Policy|x
http://www.sjsu.edu/registrar/services/verification/|Enrollment Verification|Service|x
http://www.sjsu.edu/registrar/services/visitor_concurrent/|Application to Visit Another CSU|Form|x
http://www.sjsu.edu/registrar/tutorials/grade_values.html|Grade and Symbol Values|Policy|x
http://www.sjsu.edu/registrar/tutorials/view_appt.pdf|How to View Enrollment Appointment|How-to|x
http://www.sjsu.edu/registrar/veterans/|Veterans Services|Service|x
http://www.sjsu.edu/registrar/veterans/va_forms/|Veterans Affairs Forms|Form|x
http://www.sjsu.edu/secondaryed/|Secondary Education Department|Department|x
http://www.sjsu.edu/senate/|Academic Senate Website|Policy|x
http://www.sjsu.edu/senate/f88-10.htm|Academic Dishonesty Policy|Policy|x
http://www.sjsu.edu/senate/S04-12.pdf|Academic Integrity Policy|Policy|x
http://www.sjsu.edu/senate/S06-4.htm|Final Exam Policy|Policy|x
http://www.sjsu.edu/senate/S77-6.pdf|College Level Exam Program (CLEP)|Policy|x
http://www.sjsu.edu/sjsuone/about/|SJSUone|Service|x
http://www.sjsu.edu/soar/|SOAR: Admissions Counseling|Service|x
http://www.sjsu.edu/socialsciences/|College of Social Science|College|x
http://www.sjsu.edu/socialsciences/teacherspreparation/index.htm|Teacher Preparation Program|Program|x
http://www.sjsu.edu/socialwork/|Social Work Department|Department|x
http://www.sjsu.edu/sociology/|Sociology Department|Department|x
http://www.sjsu.edu/specialed/|Special Education Department|Department|x
http://www.sjsu.edu/studenthealth/clinical_services/|Student Health Center Clinical Services|Service|x
http://www.sjsu.edu/studenthealth/clinical_services/pharmacy/index.htm|Campus Pharmacy|Service|x
http://www.sjsu.edu/studenthealth/clinical_services/physical_therapy/index.htm|Physical Therapy|Service|x
http://www.sjsu.edu/studenthealth/clinical_services/women_health/index.htm|Women's Health|Service|x
http://www.sjsu.edu/studenthealth/health_education/|Diet and Nutrition Information|Policy|x
http://www.sjsu.edu/studenthealth/health_education/sexual_health/|Birth Control and Contraception|Service|x
http://www.sjsu.edu/studyabroad/|Study Abroad Information|Policy|x
http://www.sjsu.edu/ugs/|Undergraduate Studies|Policy|x
http://www.sjsu.edu/ugs/arb/section4f.html|Academic Standing Information|Policy|x
http://www.sjsu.edu/ugs/docs/petitions/Disregard.pdf|Disregard Previous Semesters' Work|Form|x
http://www.sjsu.edu/ugs/docs/petitions/Foreign_credit.pdf|Credit for International Course Work|Form|x
http://www.sjsu.edu/ugs/docs/petitions/Intensive_Science.pdf|Core Intensive Science Plan|Form|x
http://www.sjsu.edu/ugs/docs/petitions/New_AR_Disregard_Aug_09.pdf|Academic Renewal Petition|Form|x
http://www.sjsu.edu/ugs/docs/petitions/Retro._Acad._Ren.pdf|Retroactive Academic Renewal Petition|Form|x
http://www.sjsu.edu/ugs/docs/petitions/Retro._Course_Add.pdf|Retroactive Course Add Petition|Form|x
http://www.sjsu.edu/ugs/docs/petitions/Retro._Course_Drop.pdf|Retroactive Course Drop Petition|Form|x
http://www.sjsu.edu/ugs/docs/petitions/Retro._Withdrawal.pdf|Retroactive Withdrawl Petition|Form|x
http://www.sjsu.edu/ugs/students/advising/|Academic Advising Centers|Advising|x
http://www.sjsu.edu/ugs/students/firstyear/|First Year Experience Courses|Program|x
http://www.sjsu.edu/ugs/students/petitions/list/|List of Petitions|Form|x
http://www.sjsu.edu/ugs/students/petitions/list/index.html|General Ed Petitions|Form|x
http://www.sjsu.edu/ugs/students/specialmajors/Guidelines/|Special Major Guidelines|Policy|x
http://www.sjsu.edu/ugs/students/writing/|Writing Resources|Service|x
http://www.sjsu.edu/urbanplanning/|Urban and Regional Planning Department|Department|x
http://www.sjsu.edu/visit/|Visit San Jose State University|Contact|x
http://www.sjsu.edu/visit/admissionrequirements/|Admission Requirements|Policy|x
http://www.sjsu.edu/webservices/services/faculty/|Web Services for Faculty|Service|x
http://www.sjsu.edu/webservices/services/websitebuilder/|Web Page Wizard for Faculty|Service|x
http://www.sjsu.edu/wireless/connecting/|WiFi at San Jose State University|Service|x
http://www.sjsu.edu/writingcenter/|Writing Center|Service|x
http://www.sjsu.edu/wsq/|Washington Square Magazine|Miscellaneous|x
http://www.sjsu.netclubmgr.com|Student Organizations|Organization|x
http://www.sjsugeology.org/|Geology Department|Department|x
http://www.sjsupd.com/|University Police Department (UPD)|Department|x
http://www.sjsupd.com/asr/index.html|Annual Safety Report|Facts|x
http://www.sjsuspartans.com/main/Schedule.dbml|Athletics Schedule|Athletics|x
http://www.sjsuspartans.com/ViewArticle.dbml?DB_OEM_ID=5600&ATCLID=1505952|San Jose State University Athletics|Athletics|x
http://www.spartanbookstore.com/|Spartan Bookstore|Books|x
http://www.spartanbookstore.com/home.aspx|Spartan Bookstore|Books|x
http://www.spartanbookstore.com/SiteText.aspx?id=1284|On Campus Post Office|Service|x
http://www.spartanshops.com/bookstore/Insite/Computer_site/index.html|Spartan Computer Store|Service|x
http://www.spartanshops.com/dining/portal/|Dining Services|Service|x
http://www.spartanshops.sjsu.edu/|Spartan Shops|Service|x
http://www.spartanshops.sjsu.edu/goldpoints/|Gold Points|Service|x
http://www.spartanshops.sjsu.edu/promotions/|Spartan Shops Promotions|Service|x
